id,product_id,order_id,unitPrice,quantity
1,30,1,300000,3
2,28,1,50000,2
3,12,2,8000,3
4,15,2,4000,1
5,17,2,5000,2
6,44,3,20000,3
7,15,3,4000,1
8,28,3,50000,2
9,39,3,7000,1
10,24,3,200,3
11,15,3,4000,2
12,48,3,100000,2
13,40,3,10000,1
14,50,3,40000,1
15,44,4,20000,2
16,38,4,8000,3
17,37,4,10000,3
18,19,4,750,1
19,33,4,100000,2
20,21,4,1500,1
21,37,4,10000,1
22,25,5,150,2
23,3,5,100000,2
24,5,5,50000,1
25,49,5,500000,2
26,49,5,500000,1
27,9,5,15000,3
28,26,5,400000,1
29,28,5,50000,1
30,5,6,50000,2
31,10,6,30000,2
32,39,6,7000,1
33,30,6,300000,3
34,1,6,40000,3
35,35,6,60000,2
36,35,6,60000,1
37,47,6,30000,3
38,18,6,3000,2
39,31,7,100000,2
40,2,7,35000,3
41,4,7,20000,1
42,35,7,60000,2
43,12,7,8000,2
44,42,7,70000,1
45,32,7,60000,1
46,27,8,100000,2
47,23,8,1000,2
48,18,8,3000,1
49,50,8,40000,2
50,10,8,30000,3
51,6,8,10000,2
52,20,8,2000,2
53,28,9,50000,2
54,4,9,20000,1
55,11,9,10000,1
56,26,10,400000,3
57,23,10,1000,3
58,37,11,10000,3
59,24,11,200,2
60,37,11,10000,3
61,4,11,20000,1
62,16,11,3000,3
63,29,11,200000,1
64,42,12,70000,1
65,7,12,30000,3
66,24,12,200,1
67,9,12,15000,2
68,46,13,100000,3
69,10,13,30000,1
70,44,13,20000,3
71,46,13,100000,3
72,20,13,2000,2
73,18,13,3000,3
74,20,13,2000,3
75,6,14,10000,2
76,5,14,50000,3
77,33,14,100000,1
78,21,14,1500,2
79,35,14,60000,2
80,5,15,50000,3
81,5,15,50000,3
82,41,15,50000,2
83,32,16,60000,3
84,28,16,50000,2
85,35,17,60000,2
86,12,17,8000,3
87,8,17,50000,2
88,50,17,40000,1
89,28,17,50000,3
90,27,17,100000,2
91,48,17,100000,3
92,40,17,10000,1
93,6,18,10000,1
94,15,18,4000,2
95,46,18,100000,2
96,35,18,60000,2
97,6,18,10000,2
98,5,18,50000,2
99,19,19,750,3
100,33,19,100000,1
101,46,19,100000,2
102,11,19,10000,1
103,48,20,100000,3
104,22,20,500,2
105,15,20,4000,3
106,38,20,8000,2
107,8,20,50000,1
108,29,20,200000,2
109,41,21,50000,1
110,4,21,20000,2
111,1,21,40000,1
112,27,21,100000,1
113,50,21,40000,1
114,6,22,10000,3
115,13,22,5000,3
116,4,23,20000,1
117,20,23,2000,1
118,46,23,100000,1
119,15,23,4000,1
120,12,23,8000,2
121,1,24,40000,3
122,9,24,15000,3
123,17,24,5000,3
124,17,24,5000,3
125,13,24,5000,3
126,47,25,30000,2
127,25,25,150,1
128,30,25,300000,2
129,35,25,60000,1
130,2,25,35000,1
131,20,25,2000,3
132,50,26,40000,3
133,31,27,100000,3
134,2,27,35000,2
135,19,28,750,1
136,29,28,200000,2
137,37,28,10000,1
138,30,28,300000,2
139,10,29,30000,2
140,19,30,750,2
141,35,30,60000,2
142,4,30,20000,3
143,6,30,10000,3
144,9,30,15000,3
145,36,30,15000,2
146,33,31,100000,3
147,50,31,40000,1
148,16,31,3000,2
149,43,31,30000,3
150,12,31,8000,1
151,17,32,5000,2
152,6,32,10000,3
153,32,32,60000,1
154,28,32,50000,1
155,4,33,20000,1
156,31,33,100000,2
157,11,33,10000,2
158,33,33,100000,2
159,36,33,15000,3
160,6,33,10000,2
161,30,34,300000,2
162,6,34,10000,1
163,44,34,20000,1
164,6,34,10000,3
165,33,35,100000,3
166,1,35,40000,1
167,18,35,3000,2
168,8,35,50000,1
169,45,36,20000,3
170,18,36,3000,1
171,17,36,5000,1
172,50,36,40000,1
173,17,36,5000,1
174,22,36,500,1
175,27,36,100000,3
176,37,37,10000,1
177,10,38,30000,2
178,39,38,7000,1
179,47,38,30000,3
180,19,38,750,3
181,10,38,30000,2
182,24,38,200,1
183,40,39,10000,2
184,21,39,1500,2
185,31,39,100000,2
186,43,39,30000,1
187,40,39,10000,3
188,47,39,30000,3
189,19,39,750,2
190,48,39,100000,3
191,23,40,1000,1
192,10,40,30000,3
193,27,40,100000,3
194,3,40,100000,2
195,39,41,7000,1
196,26,41,400000,3
197,31,42,100000,1
198,10,42,30000,2
199,47,42,30000,2
200,10,42,30000,2
201,30,42,300000,2
202,12,43,8000,3
203,13,43,5000,3
204,4,43,20000,2
205,50,43,40000,2
206,43,43,30000,3
207,50,43,40000,1
208,38,44,8000,2
209,35,44,60000,1
210,36,44,15000,2
211,43,44,30000,2
212,13,44,5000,1
213,35,44,60000,2
214,19,45,750,1
215,2,45,35000,2
216,36,45,15000,1
217,44,46,20000,2
218,40,46,10000,2
219,49,46,500000,1
220,11,46,10000,1
221,12,46,8000,1
222,34,46,70000,2
223,22,47,500,3
224,13,47,5000,2
225,50,47,40000,1
